"","date","arrivals_domestic","arrivals_international","arrivals_ontime","arrivals_delayed","arrivals_cancelled","arrivals_passengers","departures_domestic","departures_international","departures_ontime","departures_delayed","departures_cancelled","departures_passengers","temp","precipitation","during_covid"
"1","1990-01-01",290,233,0.781259151,0.203513909,0.013836018,1627316,276,248,0.835760047,0.15157251,0.012667443,1573672,57.1,0.04,0
"2","1990-02-01",283,232,0.770038559,0.215686275,0.012388219,1495792,280,251,0.818599311,0.170821716,0.010578973,1490162,55,0.09,0
"3","1990-03-01",294,228,0.799927114,0.188994169,0.008892128,1718599,278,264,0.865322056,0.125930745,0.008747199,1757344,57.5,0,0
"4","1990-04-01",271,230,0.820615797,0.173136992,0.005800982,1643042,266,252,0.889399215,0.105637455,0.004963331,1674712,62.5,0.01,0
"5","1990-05-01",273,244,0.763291052,0.230054758,0.005891731,1719822,264,261,0.887723415,0.107307984,0.004968601,1745654,62.7,0.03,0
"6","1990-06-01",288,256,0.763007744,0.225716615,0.009509578,1894435,274,270,0.86246865,0.129600759,0.00793059,1942269,67.5,0.0406382978723404,0
"7","1990-07-01",271,263,0.827174125,0.165162045,0.006624667,2111460,265,280,0.894139028,0.099370416,0.006490556,2054150,71.4,0,0
"8","1990-08-01",262,263,0.768738278,0.222789886,0.007566449,2265548,266,273,0.841138422,0.152587322,0.006274256,2334195,69.6,0,0
"9","1990-09-01",291,248,0.825761812,0.16571149,0.006919206,1775873,279,267,0.887071978,0.105939902,0.00698812,1739423,71,0.0406382978723404,0
"10","1990-10-01",267,260,0.784610169,0.200745763,0.010101695,1728588,268,288,0.872495939,0.115592853,0.011911207,1732237,69.5,0,0
"11","1990-11-01",253,249,0.8130384,0.180026281,0.005475252,1668357,248,257,0.877265058,0.1179664,0.004768542,1679482,64.1,0,0
"12","1990-12-01",286,260,0.669763699,0.315165703,0.013461116,1750237,281,277,0.770153376,0.218506942,0.011339682,1767525,56.8,0,0
"13","1991-01-01",269,244,0.747352722,0.235495899,0.016181954,1680701,273,257,0.79889971,0.184670285,0.016430005,1661753,57.2,0.04,0
"14","1991-02-01",268,233,0.696785981,0.268250145,0.029897849,1397069,257,242,0.767567568,0.201580042,0.030852391,1380817,59.8,0.09,0
"15","1991-03-01",252,243,0.653230133,0.333128975,0.011954939,1651391,241,258,0.7710466,0.217035905,0.011917494,1649231,55,0.13,0
"16","1991-04-01",252,226,0.771544157,0.218380276,0.009312266,1665027,248,250,0.844335654,0.14579668,0.009867666,1689948,61,0.0406382978723404,0
"17","1991-05-01",237,228,0.806912096,0.184598047,0.0081142,1812029,247,244,0.877227276,0.11615668,0.006616044,1814289,60.3,0.0406382978723404,0
"18","1991-06-01",253,245,0.794856369,0.198526094,0.005715145,1938883,240,266,0.866506494,0.127937533,0.005555973,1940977,63.9,0.0406382978723404,0
"19","1991-07-01",237,251,0.781527147,0.21263249,0.004903021,2128949,236,276,0.854563836,0.139948007,0.005488157,2063303,67,0.01,0
