Date,Domestic,International,OnTime,Delayed,Cancelled,Passengers
1990-01-01,290,233,0.781259151,0.203513909,0.013836018,1627316
1990-02-01,283,232,0.770038559,0.215686275,0.012388219,1495792
1990-03-01,294,228,0.799927114,0.188994169,0.008892128,1718599
1990-04-01,271,230,0.820615797,0.173136992,0.005800982,1643042
1990-05-01,273,244,0.763291052,0.230054758,0.005891731,1719822
1990-06-01,288,256,0.763007744,0.225716615,0.009509578,1894435
1990-07-01,271,263,0.827174125,0.165162045,0.006624667,2111460
1990-08-01,262,263,0.768738278,0.222789886,0.007566449,2265548
1990-09-01,291,248,0.825761812,0.16571149,0.006919206,1775873
1990-10-01,267,260,0.784610169,0.200745763,0.010101695,1728588
1990-11-01,253,249,0.8130384,0.180026281,0.005475252,1668357
1990-12-01,286,260,0.669763699,0.315165703,0.013461116,1750237
1991-01-01,269,244,0.747352722,0.235495899,0.016181954,1680701
1991-02-01,268,233,0.696785981,0.268250145,0.029897849,1397069
1991-03-01,252,243,0.653230133,0.333128975,0.011954939,1651391
1991-04-01,252,226,0.771544157,0.218380276,0.009312266,1665027
1991-05-01,237,228,0.806912096,0.184598047,0.0081142,1812029
1991-06-01,253,245,0.794856369,0.198526094,0.005715145,1938883
1991-07-01,237,251,0.781527147,0.21263249,0.004903021,2128949
1991-08-01,238,245,0.761504457,0.233929995,0.003985796,2259937
1991-09-01,248,250,0.815328525,0.176428628,0.0068162,1770240
1991-10-01,228,255,0.771443875,0.218761956,0.00803428,1764364
1991-11-01,235,262,0.77073991,0.210281871,0.012572069,1615241
1991-12-01,252,259,0.738392997,0.246756292,0.009379397,1820081
1992-01-01,229,268,0.826940994,0.161645963,0.010481366,1654730
1992-02-01,211,268,0.720554855,0.263135771,0.01504834,1478324
1992-03-01,224,267,0.698918035,0.286837394,0.012921305,1668885
1992-04-01,228,277,0.815541727,0.162198819,0.017153343,1647733
1992-05-01,220,288,0.82497889,0.14953558,0.02210793,1691736
1992-06-01,229,299,0.761019649,0.234124877,0.003869206,1981035
1992-07-01,228,309,0.784978447,0.208592095,0.005260466,2255122
1992-08-01,223,317,0.827170302,0.166979633,0.004983389,2382633
1992-09-01,251,349,0.845054273,0.147530959,0.005733068,1839834
1992-10-01,238,316,0.826826149,0.157977883,0.013766644,1715734
1992-11-01,210,310,0.866346701,0.126657447,0.00618238,1659259
1992-12-01,244,329,0.643447462,0.340653286,0.012514758,1751677
1993-01-01,247,288,0.67383794,0.304177136,0.018922739,1745401
1993-02-01,225,260,0.686077525,0.300675676,0.010579659,1475343
1993-03-01,226,275,0.791956267,0.186177275,0.019055057,1725904
1993-04-01,223,268,0.83189967,0.162231691,0.0052255,1687779
1993-05-01,211,277,0.87602285,0.120271731,0.002856261,1830872
1993-06-01,237,279,0.808624709,0.185236985,0.004972805,1943856
1993-07-01,225,278,0.854538606,0.141694915,0.003088512,2151637
1993-08-01,218,276,0.8412475,0.154974443,0.003185421,2259603
1993-09-01,255,272,0.818839997,0.172874266,0.00635508,1811709
1993-10-01,226,274,0.810405437,0.183813765,0.005077728,1834365
1993-11-01,230,258,0.75307309,0.238953488,0.006976744,1758086
1993-12-01,245,267,0.758698819,0.232642822,0.008172844,1833715
1994-01-01,248,259,0.754670397,0.21356267,0.028721916,1714806
1994-02-01,227,241,0.687431193,0.286330275,0.024678899,1542062
1994-03-01,237,243,0.799639581,0.189957405,0.008682831,1854666
1994-04-01,219,245,0.79402834,0.200657895,0.004217274,1767712
1994-05-01,210,242,0.824545964,0.170973678,0.003600288,1927941
1994-06-01,235,267,0.826929209,0.167570153,0.003667092,2075416
1994-07-01,221,267,0.791468119,0.203388549,0.004235686,2348485
1994-08-01,223,267,0.847986853,0.147605886,0.003212071,2380035
1994-09-01,230,262,0.872146823,0.123534855,0.003701419,1967609
1994-10-01,233,264,0.815295815,0.178643579,0.004978355,2016474
1994-11-01,222,251,0.7198818,0.269737839,0.006288832,1945528
1994-12-01,257,251,0.719630126,0.264699654,0.011999718,2060837
1995-01-01,256,248,0.594077936,0.367889847,0.036227525,1952009
1995-02-01,237,247,0.741393292,0.23051972,0.026170291,1700209
1995-03-01,226,263,0.713619342,0.261480849,0.023388739,2001250
1995-04-01,212,262,0.7396697,0.24388271,0.015840917,1998111
1995-05-01,206,251,0.693761688,0.28827144,0.017098584,2073890
1995-06-01,213,258,0.670264508,0.31347858,0.015857152,2205160
1995-07-01,211,231,0.765329053,0.218362761,0.015730337,2394793
1995-08-01,209,228,0.798433093,0.184393607,0.016170479,2506757
1995-09-01,217,242,0.795217946,0.18846128,0.015380482,2044298
1995-10-01,221,241,0.720875988,0.261370999,0.01639238,2095255
1995-11-01,234,237,0.660064645,0.310157486,0.024344956,2036578
1995-12-01,248,267,0.591876209,0.376108851,0.027679584,2141769
1996-01-01,235,253,0.591645185,0.358648952,0.046995836,2040794
1996-02-01,237,244,0.611458699,0.357047452,0.028471002,1967209
1996-03-01,228,241,0.711997363,0.266512854,0.019907713,2256281
1996-04-01,251,255,0.787827728,0.194378918,0.016580171,2169249
1996-05-01,244,253,0.769400898,0.210563976,0.01905939,2271336
1996-06-01,266,264,0.738328117,0.239175796,0.021583203,2424824
1996-07-01,243,277,0.723452017,0.252042153,0.023819916,2615733
1996-08-01,245,267,0.723048442,0.258377044,0.017957421,2726337
1996-09-01,261,268,0.720571914,0.257752824,0.020695959,2229889
1996-10-01,261,271,0.619887832,0.35383452,0.023757011,2252748
1996-11-01,248,277,0.707110459,0.259338314,0.030749733,2034823
1996-12-01,268,286,0.554546617,0.406253997,0.035298632,2308804
1997-01-01,250,283,0.613506658,0.345212429,0.038934686,2161761
1997-02-01,236,280,0.75415376,0.218037173,0.026260208,1933043
