Date,Domestic,International,OnTime,Delayed,Cancelled,Passengers
1990-01-01,276,248,0.835760047,0.15157251,0.012667443,1573672
1990-02-01,280,251,0.818599311,0.170821716,0.010578973,1490162
1990-03-01,278,264,0.865322056,0.125930745,0.008747199,1757344
1990-04-01,266,252,0.889399215,0.105637455,0.004963331,1674712
1990-05-01,264,261,0.887723415,0.107307984,0.004968601,1745654
1990-06-01,274,270,0.86246865,0.129600759,0.00793059,1942269
1990-07-01,265,280,0.894139028,0.099370416,0.006490556,2054150
1990-08-01,266,273,0.841138422,0.152587322,0.006274256,2334195
1990-09-01,279,267,0.887071978,0.105939902,0.00698812,1739423
1990-10-01,268,288,0.872495939,0.115592853,0.011911207,1732237
1990-11-01,248,257,0.877265058,0.1179664,0.004768542,1679482
1990-12-01,281,277,0.770153376,0.218506942,0.011339682,1767525
1991-01-01,273,257,0.79889971,0.184670285,0.016430005,1661753
1991-02-01,257,242,0.767567568,0.201580042,0.030852391,1380817
1991-03-01,241,258,0.7710466,0.217035905,0.011917494,1649231
1991-04-01,248,250,0.844335654,0.14579668,0.009867666,1689948
1991-05-01,247,244,0.877227276,0.11615668,0.006616044,1814289
1991-06-01,240,266,0.866506494,0.127937533,0.005555973,1940977
1991-07-01,236,276,0.854563836,0.139948007,0.005488157,2063303
1991-08-01,228,261,0.826303626,0.169651885,0.004044489,2338563
1991-09-01,235,261,0.899113082,0.094472601,0.006414317,1736182
1991-10-01,227,278,0.872408781,0.120630307,0.006960912,1789733
1991-11-01,208,274,0.849017415,0.137641796,0.013340789,1659890
1991-12-01,233,285,0.796164384,0.19295499,0.010880626,1805975
1992-01-01,226,286,0.858908582,0.131218905,0.009872512,1649832
1992-02-01,220,293,0.808866829,0.176242954,0.014890216,1480412
1992-03-01,218,296,0.802318344,0.184689591,0.012992065,1695952
1992-04-01,212,307,0.878700592,0.105856937,0.015442471,1693214
1992-05-01,204,308,0.881702258,0.093101859,0.025195883,1711804
1992-06-01,210,314,0.874218573,0.122316788,0.003464638,2041178
1992-07-01,221,343,0.883369487,0.112509038,0.004121475,2236702
1992-08-01,215,355,0.883645533,0.1120317,0.004322767,2428589
1992-09-01,235,378,0.918988884,0.075833714,0.005177402,1852644
1992-10-01,217,333,0.89885783,0.086639615,0.014502555,1766158
1992-11-01,201,337,0.91056515,0.08424552,0.005189329,1690975
1992-12-01,227,356,0.780809031,0.207980558,0.011210411,1785371
1993-01-01,220,307,0.773197492,0.210501567,0.01630094,1694923
1993-02-01,200,266,0.803135735,0.185413547,0.011450718,1502746
1993-03-01,211,277,0.848430563,0.13295428,0.018615157,1752073
1993-04-01,212,265,0.905176546,0.089950471,0.004872983,1736590
1993-05-01,211,284,0.936220957,0.060316972,0.003462071,1862304
1993-06-01,233,273,0.893872832,0.101425819,0.004701349,1970313
1993-07-01,215,287,0.918317017,0.078843136,0.002839848,2134906
1993-08-01,220,279,0.903658896,0.093316613,0.003024491,2323522
1993-09-01,241,279,0.906568878,0.08721301,0.006218112,1823982
1993-10-01,223,273,0.894564964,0.100380997,0.005054039,1860402
1993-11-01,222,270,0.843450215,0.150099239,0.006450546,1783755
1993-12-01,236,287,0.853398525,0.139547932,0.007053543,1857267
1994-01-01,239,268,0.822776555,0.148447053,0.028776392,1712372
1994-02-01,221,258,0.79028133,0.187431494,0.022287176,1557873
1994-03-01,225,262,0.860628315,0.131538148,0.007833537,1902050
1994-04-01,217,261,0.878736842,0.116715789,0.004547368,1818675
1994-05-01,208,267,0.897294709,0.098954593,0.003750698,1945588
1994-06-01,227,282,0.895177361,0.100836987,0.003985652,2124654
1994-07-01,226,276,0.864809628,0.130648702,0.00454167,2317858
1994-08-01,217,268,0.886115445,0.111061585,0.00282297,2448451
1994-09-01,237,272,0.912036324,0.084115746,0.00384793,1990286
1994-10-01,230,268,0.875791595,0.119099021,0.005109384,2032312
1994-11-01,221,248,0.799834512,0.193019407,0.007146081,1964356
1994-12-01,243,267,0.777730886,0.210733629,0.011535486,2078800
1995-01-01,254,262,0.676962161,0.287404733,0.035633106,1949885
1995-02-01,231,257,0.791356295,0.18231433,0.026329375,1720191
1995-03-01,222,269,0.773360494,0.203509002,0.023130503,2044576
1995-04-01,210,264,0.819855669,0.164699535,0.015444797,2053372
1995-05-01,200,267,0.814889067,0.168738305,0.016372628,2111187
1995-06-01,215,268,0.765129299,0.218475073,0.016395628,2260845
1995-07-01,212,239,0.815426113,0.168967953,0.015605934,2343135
1995-08-01,216,242,0.810992041,0.173278185,0.015729774,2583186
1995-09-01,217,246,0.85127964,0.132733257,0.015987103,2058546
1995-10-01,217,254,0.79049718,0.192649251,0.016853568,2108584
1995-11-01,212,247,0.714560836,0.259508907,0.025930257,2059690
1995-12-01,234,276,0.659954661,0.312308308,0.027737032,2154544
1996-01-01,227,250,0.696396694,0.25738843,0.046214876,2020994
1996-02-01,232,243,0.707507381,0.264867145,0.027625474,1963778
1996-03-01,225,246,0.771136738,0.208698517,0.020164745,2282800
1996-04-01,246,254,0.839466235,0.144561262,0.015972503,2190810
1996-05-01,242,258,0.823108451,0.15835014,0.018541409,2312544
1996-06-01,263,266,0.795604252,0.183395291,0.021000457,2469051
1996-07-01,251,270,0.793428108,0.183751091,0.022820801,2580291
1996-08-01,251,271,0.771040445,0.211917258,0.017042297,2819975
1996-09-01,262,277,0.78972786,0.189780069,0.020492071,2217757
1996-10-01,250,268,0.727238359,0.248566568,0.024195073,2294202
1996-11-01,230,258,0.763720123,0.206569635,0.029710242,2085401
1996-12-01,231,291,0.615989767,0.348001279,0.036008954,2300240
1997-01-01,243,281,0.664342314,0.297179081,0.038478605,2180240
1997-02-01,233,277,0.778645833,0.195171734,0.026182432,1942949
1997-03-01,232,278,0.782791587,0.198279159,0.018929254,2376836
1997-04-01,229,270,0.821656874,0.1588429,0.019500226,2189298
1997-05-01,222,281,0.828099587,0.150444139,0.021456274,2349358
1997-06-01,252,297,0.756955914,0.220238851,0.022805234,2483930
1997-07-01,234,290,0.80086422,0.176860812,0.022274968,2593750
1997-08-01,235,293,0.766931425,0.215303462,0.017765112,2824495
1997-09-01,250,287,0.87510408,0.105040671,0.019855249,2222380
1997-10-01,233,275,0.813096352,0.161334581,0.025569068,2258234
1997-11-01,214,281,0.794338494,0.186125324,0.019536182,2199911
1997-12-01,238,282,0.773692653,0.20391402,0.022393327,2256557
1998-01-01,220,292,0.770892811,0.196080976,0.033026213,2103298
1998-02-01,214,287,0.717708858,0.238756566,0.043534576,1897155
1998-03-01,209,292,0.771804218,0.201510023,0.026685759,2249102
1998-04-01,235,293,0.806709695,0.173322576,0.019967729,2298626
1998-05-01,232,285,0.795146324,0.177795081,0.027058595,2407938
1998-06-01,239,284,0.780923317,0.191610934,0.027465749,2511882
1998-07-01,234,285,0.822505946,0.149580673,0.027913381,2617124
1998-08-01,229,282,0.813467299,0.159947579,0.026585122,2767337
1998-09-01,246,285,0.827985682,0.129710381,0.042303938,2268648
1998-10-01,228,285,0.834562764,0.142740054,0.022697182,2322652
1998-11-01,214,272,0.833577128,0.141289894,0.025132979,2247686
1998-12-01,244,290,0.746035855,0.227752249,0.026211896,2338666
1999-01-01,242,293,0.782436555,0.178360485,0.03920296,2211121
1999-02-01,221,265,0.794102949,0.160062826,0.045834226,2039538
1999-03-01,220,280,0.802499199,0.170201858,0.027298943,2455478
1999-04-01,235,283,0.777016793,0.196378005,0.026605203,2399633
1999-05-01,230,269,0.813591496,0.156099722,0.030308783,2484906
1999-06-01,237,295,0.78263641,0.190081591,0.027281999,2620107
1999-07-01,229,289,0.791751938,0.183503876,0.024744186,2807337
1999-08-01,232,281,0.770976574,0.202555522,0.026467904,2889697
1999-09-01,238,296,0.752313555,0.21375431,0.033932136,2375898
1999-10-01,234,283,0.806190169,0.166147883,0.027661949,2516604
