,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1990,57.1,55,57.5,62.5,62.7,67.5,71.4,69.6,71,69.5,64.1,56.8
1991,57.2,59.8,55,61,60.3,63.9,67,68.9,67.8,67.3,63.4,58.7
1992,58.4,60.8,59.2,65.6,66.1,65.9,71.5,72.9,70.7,67,63.7,55.8
1993,56.2,57,60.5,62.8,65.1,68.3,69.5,69.5,69,68.4,63.6,58.4
1994,59.1,57,60.7,60.2,62,68.2,67.8,74.7,70.6,66.8,57.9,57.5
1995,56.8,61.6,60,60.5,60.3,64.3,68.2,68.9,70.7,67.3,62.8,58.9
1996,58.2,58.3,60.1,64.2,65.9,67.3,69.5,73.3,69.1,63.8,62.1,58.2
1997,57.3,58.7,59.9,61.8,67.5,68.8,69.4,72.9,74.7,68.5,63.2,56.9
1998,56.2,55.1,58,57.2,61,64.7,69.5,72.1,70.4,65.6,59.7,55.5
1999,57.1,56.5,55.7,58.4,63.4,65,70.3,68.8,67.8,68.1,60.5,59.2
2000,58.4,57.7,57.9,61,64.3,68,68.6,70.8,69.6,63.6,58.1,58.4
2001,54.9,54.2,57.8,57.1,63.9,67.4,67.8,68.4,67.8,65.2,60.6,55.6
2002,55.4,58.9,58,58.9,61.8,65.7,68.5,67.6,67.6,62.8,63.7,56.3
2003,62.1,58.1,59.2,58.3,61.1,65.1,71.5,71,67.8,67.4,59.6,56.7
2004,56.8,55.6,61,62.1,66.7,66.8,69.3,69.3,72.5,63.6,58.9,57.3
2005,57.4,58.1,58.6,59.9,63.9,64.9,68.6,69.6,67.6,65,63.8,59
2006,58.1,59,54.7,59.4,64.4,69.2,74.3,70.8,68.8,65.9,63.6,57.3
2007,54.5,57.5,60,60.1,62.1,64.8,69.9,71.3,68.3,66.3,61.5,55.8
2008,55.9,56.8,60.1,62.7,64.1,68.4,69.8,70,68.6,68.9,64,54.9
2009,60.1,56.2,57.7,60.2,63.9,65,68.4,68.8,69.9,65,61.5,56.2
2010,58.4,57.5,59.8,58.5,61,64.6,65.7,65.8,66.8,65.6,61.4,58.2
2011,59.2,55.3,57.9,61.8,62.4,63.8,68.3,67.6,66.9,64.5,59.1,55
2012,59.4,57.1,57.1,59.7,63,65.3,66.6,72.2,72.2,69,62.7,56.5
2013,56.5,56.1,59.2,62.2,66.5,67.9,69,68.6,70.2,65.7,64.1,59
2014,61.3,59.7,62.4,62.6,68.9,67.6,71.8,71.2,73,70,64.9,58.2
2015,59.8,61,64.5,62.2,61,66.3,70.3,72.8,75.1,74,62.2,57.3
2016,57,63,60.5,63.5,62.8,66.8,71.6,70.6,71.1,68.3,64.8,58.1
2017,55.8,57.2,61,63.6,63.3,66.7,71.7,72,71.5,71.5,65.5,61.4
2018,61.9,58.4,58.6,62,62.9,67.1,74.5,74.7,70.2,68.7,65.1,58.7
2019,57.5,53.6,59.5,62.7,62.1,66.5,69.4,70.5,73.4,70.1,63.6,58.8
2020,59.5,61,59.9,63.6,66,67.4,67.7,71.5,70.8,69.6,60.3,58.6
2021,57.6,57.8,56.5,60.9,62.3,65.6,68.8,69.7,68.4,65.7,63.7,55.3
2022,59.3,59.9,60.9,63,63.7,68,69.6,72.2,76,68.5,60.1,56.7
2023,55,54.9,55.5,59.1,61.2,63.9,68.7,70.5,69.7,M,M,M
